municipio;data;temperatura_max;temperatura_min;temperatura_media;precipitacao
Serra Talhada;2024-10-22;35.3;21.9;28.6;0.0
Serra Talhada;2024-10-23;34.7;21.1;28.0;0.0
Serra Talhada;2024-10-24;35.3;22.5;28.9;0.0
Serra Talhada;2024-10-25;35.5;21.6;29.1;0.0
Serra Talhada;2024-10-26;36.8;21.3;29.5;0.0
Serra Talhada;2024-10-27;37.2;21.6;29.7;0.0
Serra Talhada;2024-10-28;36.1;23.4;29.6;0.0
Serra Talhada;2024-10-29;35.0;21.4;28.7;0.0
Serra Talhada;2024-10-30;34.9;21.6;29.2;0.0
Serra Talhada;2024-10-31;35.8;21.6;29.5;0.0
Serra Talhada;2024-11-01;37.2;22.9;29.8;0.0
Serra Talhada;2024-11-02;36.1;22.6;29.6;0.0
Serra Talhada;2024-11-03;36.3;22.0;29.2;0.0
Serra Talhada;2024-11-04;35.7;21.7;29.0;0.0
Serra Talhada;2024-11-05;35.3;21.5;28.8;0.0
Serra Talhada;2024-11-06;35.5;22.6;29.3;0.0
Serra Talhada;2024-11-07;35.4;22.9;29.2;0.0
Serra Talhada;2024-11-08;35.4;22.2;29.3;0.0
Serra Talhada;2024-11-09;37.0;22.8;30.2;0.0
Serra Talhada;2024-11-10;36.8;22.6;30.2;0.0
Serra Talhada;2024-11-11;35.9;23.7;29.4;1.2
Serra Talhada;2024-11-12;33.2;24.7;28.2;0.2
Serra Talhada;2024-11-13;35.9;23.6;29.9;0.3
Serra Talhada;2024-11-14;37.1;21.9;29.3;0.0
Serra Talhada;2024-11-15;34.9;22.1;28.4;0.0
Serra Talhada;2024-11-16;35.9;21.8;28.8;0.0
Serra Talhada;2024-11-17;35.4;22.3;29.0;0.0
Serra Talhada;2024-11-18;35.9;22.8;29.4;0.0
Serra Talhada;2024-11-19;35.0;22.8;29.3;0.0
Serra Talhada;2024-11-20;36.0;23.2;30.0;0.1
Serra Talhada;2024-11-21;35.4;23.5;29.9;0.0
Serra Talhada;2024-11-22;35.9;24.2;30.4;0.0
Serra Talhada;2024-11-23;36.1;23.8;30.1;0.0
Serra Talhada;2024-11-24;36.1;24.6;30.4;0.2
Serra Talhada;2024-11-25;32.3;22.8;26.9;2.4
Serra Talhada;2024-11-26;34.6;23.8;28.8;0.3
Serra Talhada;2024-11-27;35.6;22.5;29.3;0.0
Serra Talhada;2024-11-28;37.3;22.4;30.1;0.0
Serra Talhada;2024-11-29;36.8;22.6;30.1;0.0
Serra Talhada;2024-11-30;37.0;22.8;30.1;0.0
Serra Talhada;2024-12-01;36.6;23.8;30.5;0.0
Serra Talhada;2024-12-02;36.1;23.7;29.9;0.2
Serra Talhada;2024-12-03;35.4;23.9;29.2;0.7
Serra Talhada;2024-12-04;32.9;23.6;27.3;1.7
Serra Talhada;2024-12-05;32.9;22.4;27.6;0.1
Serra Talhada;2024-12-06;34.7;22.0;27.5;0.9
Serra Talhada;2024-12-07;34.0;23.5;28.1;0.2
Serra Talhada;2024-12-08;35.4;23.1;29.3;0.0
Serra Talhada;2024-12-09;35.5;23.2;29.6;0.0
Serra Talhada;2024-12-10;34.7;22.2;28.7;0.0
Serra Talhada;2024-12-11;35.1;22.1;29.0;0.0
Serra Talhada;2024-12-12;36.8;23.6;30.5;0.0
Serra Talhada;2024-12-13;35.5;22.8;29.4;0.0
Serra Talhada;2024-12-14;34.9;22.5;;
Serra Talhada;2024-12-15;;;;
Serra Talhada;2024-12-16;;;;
